City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,vernon,50.2581,-119.2691,20.52,17,100,1.54,CA,1682636273
124,corinto,37.9407,22.9573,13.27,64,78,1.17,GR,1682636507
125,portland,45.5234,-122.6762,26.83,47,81,3.13,US,1682636272
126,yellowknife,62.456,-114.3525,5.29,75,75,7.2,CA,1682636488
127,murzuq,25.9155,13.9184,24.91,15,0,4.77,LY,1682636508
128,el nido,11.1858,119.3956,28.53,78,41,7.15,PH,1682636508
129,mount gambier,-37.8333,140.7667,12.18,72,100,4.4,AU,1682636509
130,gelendost,38.1208,31.0153,8.06,86,100,3.0,TR,1682636509
131,qaqortoq,60.7167,-46.0333,1.75,80,8,2.0,GL,1682636509
132,saint-pierre,-21.3393,55.4781,21.43,88,100,2.57,RE,1682636509
133,port elizabeth,-33.918,25.5701,18.39,92,40,3.09,ZA,1682636425
134,sitka,57.0531,-135.33,4.31,97,100,3.58,US,1682636510
135,teuva,62.4819,21.7416,-1.9,83,96,1.34,FI,1682636510
136,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1682636510
137,tabora,-5.0167,32.8,18.25,86,90,1.39,TZ,1682636511
138,thompson,55.7435,-97.8558,5.09,48,20,5.66,CA,1682636511
139,taltal,-25.4,-70.4833,18.45,81,37,2.58,CL,1682636511
140,orhaneli,39.9033,28.9906,4.93,91,100,1.73,TR,1682636512
141,hasaki,35.7333,140.8333,18.22,67,29,7.52,JP,1682636512
142,utrik,11.2278,169.8474,26.84,83,64,9.14,MH,1682636512
143,badger,64.8,-147.5333,3.96,76,98,0.05,US,1682636512
144,howard springs,-12.497,131.047,28.26,81,87,2.91,AU,1682636513
145,hithadhoo,-0.6,73.0833,28.43,77,99,3.81,MV,1682636513
146,enewetak,11.3474,162.3373,27.02,80,47,9.46,MH,1682636513
147,cruzeiro do sul,-29.5128,-51.9853,18.62,90,35,1.31,BR,1682636323
148,igarka,67.4667,86.5833,-12.16,99,93,1.72,RU,1682636514
149,holualoa,19.6228,-155.9522,24.88,83,44,1.79,US,1682636514
150,nemuro,43.3236,145.575,6.92,70,26,4.68,JP,1682636514
151,codrington,-38.2667,141.9667,12.06,83,98,6.81,AU,1682636515
152,puerto san jose,13.9256,-90.8244,29.98,62,55,3.39,GT,1682636339
153,mogocha,53.7333,119.7667,0.87,52,35,2.0,RU,1682636515
154,chonchi,-42.6128,-73.8092,11.73,98,100,2.56,CL,1682636515
155,caleta de carquin,-11.0925,-77.6267,24.06,79,58,4.44,PE,1682636516
156,hawaiian paradise park,19.5933,-154.9731,27.24,76,31,1.34,US,1682636516
157,el grao,39.798,-0.1321,18.27,86,97,0.71,ES,1682636517
158,mahebourg,-20.4081,57.7,24.03,88,20,1.03,MU,1682636517
159,makhambet,47.6667,51.5833,17.69,61,26,4.17,KZ,1682636517
160,queenstown,-31.8976,26.8753,14.19,87,70,2.04,ZA,1682636518
